property_type,neighborhood,city,price,sq_m_built,n_bedrooms,bathrooms,floor,year_built,exterior,lift,terrace,balcony,second_hand,needs_renovating,parking,swimming_pool,garden,air_conditioning,heating,price_cheap_city,price_cheap_neigh,price_cheap_property,log_price
Flat / apartment,La Salut - Lloreda - Sistrells,4,249000.0,86,3,1,2,1985.0,1,1,0,1,1,0,0,0,0,0,1,1.5998317954426178,1.3880428052841844,2.0306348219860992,12.425208175446844
Flat / apartment,Progrés-Pep Ventura,4,218500.0,88,2,1,3,1950.0,1,0,0,1,1,1,0,0,0,0,0,1.5998317954426178,2.8167324813117918,2.0306348219860992,12.294541293517781
Flat / apartment,Llefià - Sant Roc - Artigues,4,69500.0,63,3,1,5,1967.578947368421,0,0,1,0,1,0,0,0,0,0,1,1.5998317954426178,1.3163660022475898,2.0306348219860992,11.149082031552883
Flat / apartment,Llefià - Sant Roc - Artigues,4,87600.0,70,3,1,1,1967.578947368421,0,1,1,0,1,0,0,0,0,1,1,1.5998317954426178,1.3163660022475898,2.0306348219860992,11.380536276924483
Duplex,Montigalà -Sant Crist,4,337500.0,163,3,2,0,2004.0,1,1,1,1,1,0,0,0,0,0,1,1.5998317954426178,2.255895828309621,2.866960588752642,12.729320789294722
Flat / apartment,Badalona,4,192500.0,91,3,1,1,1975.8039215686274,0,0,0,0,1,0,0,0,0,0,1,1.5998317954426178,5.583817536309844,2.0306348219860992,12.167851432709975
Flat / apartment,Llefià,4,225000.0,63,2,1,2,2023.0,1,1,0,1,1,0,0,0,0,1,1,1.5998317954426178,1.9083622012974408,2.0306348219860992,12.323855681186558
Flat / apartment,Badalona,4,149500.0,75,3,1,2,1975.8039215686274,0,0,0,0,1,0,0,0,0,0,1,1.5998317954426178,5.583817536309844,2.0306348219860992,11.915051671812877
Flat / apartment,Badalona,4,295000.0,67,3,2,1,1936.0,1,0,0,1,1,0,0,0,0,1,1,1.5998317954426178,5.583817536309844,2.0306348219860992,12.594730635321957
Flat / apartment,Badalona,4,298000.0,82,3,1,5,1976.0,1,1,1,0,1,0,0,0,0,0,1,1.5998317954426178,5.583817536309844,2.0306348219860992,12.604848765487542
Flat / apartment,Gorg - Progrés,4,330000.0,110,2,2,3,1979.52,1,1,1,0,1,0,0,0,0,1,1,1.5998317954426178,2.780004080799837,2.0306348219860992,12.706847933442663
Flat / apartment,Llefià - Sant Roc - Artigues,4,160000.0,66,3,1,8,1971.0,1,1,0,1,1,0,0,0,0,0,1,1.5998317954426178,1.3163660022475898,2.0306348219860992,11.982929094215963
Flat / apartment,Badalona,4,234000.0,90,4,1,1,1975.8039215686274,1,1,0,0,1,0,0,0,0,0,0,1.5998317954426178,5.583817536309844,2.0306348219860992,12.363076394339839
Flat / apartment,La Salut - Lloreda - Sistrells,4,47100.0,33,1,1,0,1967.1666666666667,0,0,0,0,1,0,0,0,0,0,1,1.5998317954426178,1.3880428052841844,2.0306348219860992,10.760028280004509
Flat / apartment,Sistrells,4,129000.0,55,2,1,0,1970.5,1,0,0,0,1,0,0,0,0,0,0,1.5998317954426178,1.6034338075717387,2.0306348219860992,11.76756768334381
Duplex,La Maternitat i Sant Ramon,5,325000.0,75,2,2,0,2007.0,1,0,0,0,1,0,0,0,0,0,1,3.086356414343004,5.568266216542079,2.866960588752642,12.691580461311874
Flat / apartment,El Baix Guinardó,5,220000.0,50,1,1,4,1977.0,1,1,0,1,1,1,0,0,0,0,0,3.086356414343004,4.359907161803713,2.0306348219860992,12.301382825334498
Flat / apartment,El Baix Guinardó,5,500000.0,95,2,2,1,2006.0,1,1,1,1,1,0,1,0,0,1,1,3.086356414343004,4.359907161803713,2.0306348219860992,13.122363377404328
