property_type,neighborhood,city,price,sq_m_built,n_bedrooms,bathrooms,floor,year_built,exterior,lift,terrace,balcony,second_hand,needs_renovating,parking,swimming_pool,garden,air_conditioning,heating,price_cheap_city,price_cheap_neigh,price_cheap_property
Flat / apartment,El Poblenou,Barcelona,490000.0,80,3,1,8,1967.0,1,1,0,1,1,0,0,0,0,1,1,3.086356414343004,5.68448275862069,2.0306348219860992
Flat / apartment,El Poblenou,Barcelona,215000.0,43,1,1,5,1900.0,1,0,0,0,1,0,0,0,0,1,1,3.086356414343004,5.68448275862069,2.0306348219860992
Flat / apartment,El Poblenou,Barcelona,525000.0,84,4,2,7,1965.109589041096,1,1,1,1,1,0,0,0,0,1,1,3.086356414343004,5.68448275862069,2.0306348219860992
Duplex,El Poblenou,Barcelona,795000.0,150,2,2,1,2009.0,0,0,0,0,1,0,0,0,0,1,1,3.086356414343004,5.68448275862069,2.866960588752642
Flat / apartment,Sant Martí,Barcelona,357000.0,70,3,1,0,1973.7735849056603,1,1,0,0,1,0,0,0,0,0,1,3.086356414343004,4.371079205477762,2.0306348219860992
Penthouse,La Bordeta,Barcelona,235000.0,70,3,1,4,1920.0,1,0,0,1,1,0,0,0,0,0,1,3.086356414343004,3.0065721526359135,3.0305791993286255
Flat / apartment,Sants-Montjuïc,Barcelona,331000.0,101,3,1,2,1962.0681818181818,0,1,0,1,1,0,0,0,0,0,1,3.086356414343004,3.1317820110923558,2.0306348219860992
Duplex,Sant Gervasi - Galvany,Barcelona,990000.0,109,2,2,0,2021.0,1,1,1,0,1,0,1,0,0,1,1,3.086356414343004,9.859422208724762,2.866960588752642
Flat / apartment,Sarrià-Sant Gervasi,Barcelona,1490000.0,276,5,3,3,1969.0,1,1,1,1,1,0,1,0,0,1,1,3.086356414343004,12.890812273932964,2.0306348219860992
Flat / apartment,Sarrià-Sant Gervasi,Barcelona,880000.0,139,4,2,2,1982.0,1,1,1,1,1,0,1,0,0,1,1,3.086356414343004,12.890812273932964,2.0306348219860992
Flat / apartment,Sant Gervasi - Galvany,Barcelona,2300000.0,412,5,4,1,1960.0,1,1,1,1,1,0,1,0,0,1,1,3.086356414343004,9.859422208724762,2.0306348219860992
Duplex,Sant Gervasi - Galvany,Barcelona,990000.0,130,2,2,0,2023.0,1,1,1,1,1,0,0,0,0,1,1,3.086356414343004,9.859422208724762,2.866960588752642
Flat / apartment,Sant Gervasi - Galvany,Barcelona,800000.0,135,3,2,6,1961.3165829145728,1,1,1,1,1,0,0,0,0,1,1,3.086356414343004,9.859422208724762,2.0306348219860992
Flat / apartment,Sarrià-Sant Gervasi,Barcelona,2000000.0,215,5,2,6,1973.1707317073171,1,1,0,0,1,1,1,0,0,0,1,3.086356414343004,12.890812273932964,2.0306348219860992
Duplex,Sant Gervasi - Galvany,Barcelona,1975000.0,325,6,5,0,1988.0,1,1,1,1,1,0,1,0,0,1,1,3.086356414343004,9.859422208724762,2.866960588752642
Flat / apartment,Sant Gervasi - Galvany,Barcelona,535000.0,91,3,2,2,1968.0,1,1,0,1,1,0,0,0,0,1,1,3.086356414343004,9.859422208724762,2.0306348219860992
Flat / apartment,Sant Gervasi - Galvany,Barcelona,590000.0,116,3,2,4,1966.0,1,1,0,0,1,0,0,0,0,1,1,3.086356414343004,9.859422208724762,2.0306348219860992
Penthouse,Sant Gervasi - Galvany,Barcelona,1980000.0,330,4,3,7,1965.0,1,1,1,1,1,1,1,0,0,1,1,3.086356414343004,9.859422208724762,3.0305791993286255
Penthouse,Sant Gervasi - Galvany,Barcelona,1200000.0,145,3,2,8,1961.3165829145728,1,1,1,0,1,0,1,0,0,1,1,3.086356414343004,9.859422208724762,3.0305791993286255
Flat / apartment,Sants - Badal,Barcelona,275000.0,59,2,1,0,1966.0,0,1,0,0,1,0,0,0,0,0,1,3.086356414343004,3.230688208343381,2.0306348219860992
Flat / apartment,Sants - Badal,Barcelona,249000.0,70,3,1,2,1969.0,1,1,0,0,1,0,0,0,0,0,1,3.086356414343004,3.230688208343381,2.0306348219860992
Flat / apartment,Sants - Badal,Barcelona,215000.0,83,2,1,1,1963.2884615384614,1,0,0,0,1,1,0,0,0,0,1,3.086356414343004,3.230688208343381,2.0306348219860992
Penthouse,Sants - Badal,Barcelona,160000.0,38,1,1,3,1930.0,1,0,1,1,1,0,0,0,0,0,0,3.086356414343004,3.230688208343381,3.0305791993286255
Penthouse,Les Tres Torres,Barcelona,1890000.0,250,4,3,5,1977.0,1,1,1,1,1,0,1,0,0,1,1,3.086356414343004,15.855932926489958,3.0305791993286255
Flat / apartment,Les Tres Torres,Barcelona,1750000.0,300,5,4,3,1972.7037037037037,1,1,1,0,1,1,1,0,0,0,1,3.086356414343004,15.855932926489958,2.0306348219860992
Terraced house,Sarrià-Sant Gervasi,Barcelona,1695000.0,390,4,5,4,1993.0,0,0,1,1,1,0,1,0,0,1,1,3.086356414343004,12.890812273932964,3.551799764176225
