property_type,neighborhood,city,price,sq_m_built,n_bedrooms,bathrooms,floor,year_built,exterior,lift,terrace,balcony,second_hand,needs_renovating,parking,swimming_pool,garden,air_conditioning,heating,price_cheap_city,price_cheap_neigh,price_cheap_property,log_price,price_bin
Flat / apartment,El Raval,Barcelona,195000.0,46,1,1,1,1911.8142857142857,1,1,0,1,1,0,0,0,0,1,1,3.086356414343004,3.0609000108096422,2.0306348219860992,12.180754837545884,81k-300k
Penthouse,El Raval,Barcelona,205000.0,56,2,1,5,1911.8142857142857,0,0,1,0,1,0,0,0,0,0,1,3.086356414343004,3.0609000108096422,3.030579199328625,12.230765258120543,81k-300k
Flat / apartment,El Raval,Barcelona,199000.0,57,1,1,2,2001.0,0,1,0,0,1,0,0,0,0,0,1,3.086356414343004,3.0609000108096422,2.0306348219860992,12.201060103706627,81k-300k
Flat / apartment,El Raval,Barcelona,198500.0,41,1,1,1,1850.0,1,1,0,1,1,0,0,0,0,1,1,3.086356414343004,3.0609000108096422,2.0306348219860992,12.198544379109382,81k-300k
Flat / apartment,Ciutat Vella,Barcelona,360000.0,90,2,2,1,1924.0,0,0,0,1,1,0,0,0,0,1,1,3.086356414343004,5.078603488027523,2.0306348219860992,12.793859310432293,301k-1.5M
Flat / apartment,Ciutat Vella,Barcelona,266000.0,92,2,1,1,1905.485436893204,0,0,0,1,1,0,0,0,0,0,1,3.086356414343004,5.078603488027523,2.0306348219860992,12.491251587763836,81k-300k
Flat / apartment,El Raval,Barcelona,199000.0,57,1,1,2,2001.0,0,1,0,0,1,0,0,0,0,0,1,3.086356414343004,3.0609000108096422,2.0306348219860992,12.201060103706627,81k-300k
Flat / apartment,El Raval,Barcelona,213000.0,87,3,1,1,1846.0,1,0,0,0,1,1,0,0,0,0,0,3.086356414343004,3.0609000108096422,2.0306348219860992,12.269047444691562,81k-300k
Flat / apartment,Ciutat Vella,Barcelona,153000.0,57,2,1,1,1900.0,0,0,0,0,1,1,0,0,0,0,0,3.086356414343004,5.078603488027523,2.0306348219860992,11.938193200374572,81k-300k
Flat / apartment,Ciutat Vella,Barcelona,300000.0,86,3,1,3,1905.485436893204,1,1,0,0,1,1,0,0,0,0,1,3.086356414343004,5.078603488027523,2.0306348219860992,12.611537753638338,81k-300k
Flat / apartment,Ciutat Vella,Barcelona,116900.0,56,2,1,1,1905.485436893204,0,0,0,0,1,0,0,0,0,0,1,3.086356414343004,5.078603488027523,2.0306348219860992,11.66907414746016,81k-300k
Flat / apartment,El Raval,Barcelona,262000.0,60,1,1,2,1911.8142857142857,1,1,0,1,1,0,0,0,0,1,1,3.086356414343004,3.0609000108096422,2.0306348219860992,12.476099782743232,81k-300k
Flat / apartment,Ciutat Vella,Barcelona,468000.0,50,2,1,2,1905.485436893204,1,0,0,0,1,0,0,0,0,1,0,3.086356414343004,5.078603488027523,2.0306348219860992,13.056223574899784,301k-1.5M
Flat / apartment,Ciutat Vella,Barcelona,265000.0,72,3,1,1,1905.485436893204,0,1,1,0,1,0,0,0,0,0,1,3.086356414343004,5.078603488027523,2.0306348219860992,12.48748510496836,81k-300k
Flat / apartment,El Gòtic,Barcelona,485000.0,105,2,2,1,1850.0,1,1,0,1,1,0,0,0,0,1,1,3.086356414343004,5.5666312148767405,2.0306348219860992,13.09190416991962,301k-1.5M
Flat / apartment,Ciutat Vella,Barcelona,395000.0,119,2,2,3,1948.0,1,1,1,1,1,0,0,0,0,1,1,3.086356414343004,5.078603488027523,2.0306348219860992,12.88664104388326,301k-1.5M
Flat / apartment,Ciutat Vella,Barcelona,695000.0,120,3,2,1,1950.0,1,1,0,1,1,0,0,0,0,1,1,3.086356414343004,5.078603488027523,2.0306348219860992,13.45166712454693,301k-1.5M
Flat / apartment,El Gòtic,Barcelona,310000.0,68,1,1,0,1998.0,1,1,1,0,1,0,0,0,0,1,1,3.086356414343004,5.5666312148767405,2.0306348219860992,12.644327576461327,301k-1.5M
Flat / apartment,El Gòtic,Barcelona,389750.0,87,2,2,2,1840.0,1,1,0,1,1,0,1,0,0,0,1,3.086356414343004,5.5666312148767405,2.0306348219860992,12.873260786920024,301k-1.5M
Flat / apartment,El Gòtic,Barcelona,675000.0,80,2,2,3,1888.3544303797469,1,1,0,1,1,0,0,0,0,1,1,3.086356414343004,5.5666312148767405,2.0306348219860992,13.422467969854669,301k-1.5M
Flat / apartment,El Gòtic,Barcelona,310000.0,88,3,1,3,1888.3544303797469,1,0,0,1,1,0,0,0,0,1,1,3.086356414343004,5.5666312148767405,2.0306348219860992,12.644327576461327,301k-1.5M
Flat / apartment,El Gòtic,Barcelona,289000.0,69,1,1,4,1888.3544303797469,1,0,0,1,1,0,0,0,0,0,0,3.086356414343004,5.5666312148767405,2.0306348219860992,12.57418196709457,81k-300k
Flat / apartment,El Gòtic,Barcelona,775000.0,120,2,2,4,1850.0,1,1,1,1,1,0,0,0,0,0,1,3.086356414343004,5.5666312148767405,2.0306348219860992,13.560618308335483,301k-1.5M
Penthouse,El Gòtic,Barcelona,485000.0,70,2,2,5,1888.3544303797469,1,1,1,0,0,0,0,0,0,1,1,3.086356414343004,5.5666312148767405,3.030579199328625,13.09190416991962,301k-1.5M
Flat / apartment,El Gòtic,Barcelona,270000.0,70,2,1,1,1900.0,1,0,0,1,1,0,0,0,0,0,0,3.086356414343004,5.5666312148767405,2.0306348219860992,12.506177237980513,81k-300k
Flat / apartment,El Gòtic,Barcelona,501000.0,102,3,1,2,1888.3544303797469,1,0,0,0,1,1,0,0,0,0,1,3.086356414343004,5.5666312148767405,2.0306348219860992,13.124361380067002,301k-1.5M
Flat / apartment,El Gòtic,Barcelona,1000000.0,106,2,2,2,1888.3544303797469,1,1,0,1,1,0,0,0,0,1,1,3.086356414343004,5.5666312148767405,2.0306348219860992,13.815510557964274,301k-1.5M
Flat / apartment,El Gòtic,Barcelona,495000.0,80,2,1,0,1888.3544303797469,0,0,0,0,1,0,0,0,0,0,1,3.086356414343004,5.5666312148767405,2.0306348219860992,13.112313041550829,301k-1.5M
Flat / apartment,Ciutat Vella,Barcelona,292000.0,91,3,1,1,1905.485436893204,0,0,0,0,1,0,0,0,0,0,1,3.086356414343004,5.078603488027523,2.0306348219860992,12.58450908125042,81k-300k
Flat / apartment,Ciutat Vella,Barcelona,390000.0,91,3,1,0,1905.485436893204,1,1,0,0,0,0,0,0,0,0,1,3.086356414343004,5.078603488027523,2.0306348219860992,12.873902018105827,301k-1.5M
Flat / apartment,Ciutat Vella,Barcelona,550000.0,110,2,1,0,1975.0,0,1,0,0,1,0,1,0,0,1,1,3.086356414343004,5.078603488027523,2.0306348219860992,13.217673557208654,301k-1.5M
Flat / apartment,La Barceloneta,Barcelona,280000.0,60,2,1,2,1939.7333333333331,1,0,0,1,1,0,0,0,0,0,1,3.086356414343004,3.700615195898554,2.0306348219860992,12.542544882151386,81k-300k
Flat / apartment,La Barceloneta,Barcelona,381000.0,66,2,2,0,1939.7333333333331,1,1,0,1,1,0,0,0,0,1,1,3.086356414343004,3.700615195898554,2.0306348219860992,12.85055465410884,301k-1.5M
Flat / apartment,La Barceloneta,Barcelona,149000.0,33,1,1,3,1920.0,1,0,0,0,1,0,0,0,0,0,1,3.086356414343004,3.700615195898554,2.0306348219860992,11.911701584927595,81k-300k
Flat / apartment,La Barceloneta,Barcelona,215000.0,37,1,1,0,1936.0,1,0,0,0,1,0,0,0,0,1,1,3.086356414343004,3.700615195898554,2.0306348219860992,12.2783933071098,81k-300k
Flat / apartment,La Barceloneta,Barcelona,159000.0,37,1,1,0,1900.0,1,0,0,0,1,0,0,0,0,0,1,3.086356414343004,3.700615195898554,2.0306348219860992,11.976659481202368,81k-300k
